first_name,last_name,email,phone,city,address,job_title,annual_income,current_vehicle_owner,current_vehicle_name,current_vehicle_year,current_vehicle_price,source,status,lead_score,priority,follow_up_date,closure_probability,next_action,ai_score,ai_prediction,ai_confidence,conversion_prediction,vehicle_id
Anita,Verma,anita18@gmail.com,9514895935,Chennai,Address 18,Manager,1985168,True,Swift,,700000,website,new,37,high,2025-11-10,97,Follow up call,0.92,Medium Chance,Medium,Unlikely,2
Kiran,Das,kiran19@gmail.com,9469311347,Delhi,Address 19,Business Owner,1484061,False,Baleno,2019,900000,referral,new,50,high,2025-10-01,47,Follow up call,0.24,Low Chance,High,Unknown,5
Rahul,Verma,rahul20@gmail.com,9554429830,Chennai,Address 20,Manager,755180,True,Creta,2018,,call,test_completed,66,low,2025-09-30,54,Follow up call,0.19,Low Chance,Medium,Unknown,5
Priya,Kumar,priya21@gmail.com,9735392098,Hyderabad,Address 21,Manager,1207264,True,Baleno,2018,700000,walkin,test_driven,42,high,2026-01-05,42,Follow up call,0.23,Medium Chance,High,Unknown,5
Pooja,Sharma,pooja22@gmail.com,9984116970,Mumbai,Address 22,Business Owner,604988,False,Creta,2022,,walkin,new,10,low,2025-12-16,97,Follow up call,0.76,Medium Chance,High,Unknown,2
Kiran,Sharma,kiran23@gmail.com,9661851209,Delhi,Address 23,Software Engineer,1677357,True,Baleno,,,referral,contacted,35,medium,2025-10-11,89,Follow up call,0.83,High Chance,Low,Unknown,5
Anita,Sharma,anita24@gmail.com,9243346174,Delhi,Address 24,Business Owner,546433,True,Swift,2019,900000,referral,test_completed,34,high,2025-10-03,43,Follow up call,0.45,Low Chance,High,Unknown,2
Rahul,Patel,rahul25@gmail.com,9942448804,Delhi,Address 25,Software Engineer,368143,True,,2019,900000,walkin,lost,27,high,2025-10-20,53,Follow up call,0.3,Low Chance,Medium,Unknown,1
Suresh,Das,suresh26@gmail.com,9881509906,Delhi,Address 26,Software Engineer,1151470,True,,2019,500000,walkin,won,77,medium,2025-12-11,90,Follow up call,0.54,Low Chance,Medium,Unknown,4
Amit,Das,amit27@gmail.com,9401353521,Delhi,Address 27,Manager,606648,False,City,,700000,website,negotiation,73,medium,2025-11-23,55,Follow up call,0.63,Low Chance,Low,Unknown,2
Anita,Sharma,anita28@gmail.com,9812371723,Delhi,Address 28,Sales Executive,436557,False,Baleno,,,website,test_driven,32,medium,2025-12-08,25,Follow up call,0.55,High Chance,Low,Unknown,4
Suresh,Singh,suresh29@gmail.com,9868038285,Pune,Address 29,Manager,622389,False,Swift,2019,,walkin,lost,12,low,2025-10-15,57,Follow up call,0.79,Low Chance,High,Unlikely,3
Kiran,Singh,kiran30@gmail.com,9219364438,Chennai,Address 30,Manager,896889,True,Baleno,,700000,referral,test_completed,72,high,2025-09-03,95,Follow up call,0.69,Medium Chance,Low,Unlikely,2
Kiran,Singh,kiran31@gmail.com,9522461328,Mumbai,Address 31,Business Owner,310646,True,City,2022,500000,website,new,40,low,2025-10-06,30,Follow up call,0.41,Low Chance,Low,Likely,3
Vijay,Singh,vijay32@gmail.com,9758518372,Hyderabad,Address 32,Software Engineer,586974,False,City,,900000,call,negotiation,14,high,2025-10-27,75,Follow up call,0.67,Low Chance,Medium,Unknown,1
Rahul,Reddy,rahul33@gmail.com,9286999659,Bangalore,Address 33,Analyst,1305053,False,Swift,2019,900000,call,negotiation,19,medium,2025-11-13,35,Follow up call,0.69,High Chance,High,Unlikely,2
Suresh,Kumar,suresh34@gmail.com,9265504257,Bangalore,Address 34,Software Engineer,1782663,False,,2020,500000,website,new,14,low,2026-01-13,48,Follow up call,0.7,Medium Chance,Medium,Unknown,4
Amit,Verma,amit35@gmail.com,9434211348,Bangalore,Address 35,Software Engineer,1087367,False,,2022,900000,walkin,negotiation,46,medium,2025-11-15,15,Follow up call,0.91,Low Chance,Low,Unknown,4
Priya,Das,priya36@gmail.com,9946599758,Hyderabad,Address 36,Business Owner,1228998,True,Baleno,2019,,website,new,28,high,2025-09-13,50,Follow up call,0.86,Medium Chance,High,Unlikely,1
Vijay,Sharma,vijay37@gmail.com,9231706582,Bangalore,Address 37,Business Owner,1639277,True,Creta,,700000,call,lost,88,low,2025-12-28,49,Follow up call,0.82,Low Chance,Low,Likely,4
Priya,Reddy,priya38@gmail.com,9514957180,Pune,Address 38,Analyst,1477574,True,City,2021,,website,negotiation,6,low,2025-09-28,92,Follow up call,0.21,High Chance,High,Unlikely,1
Anita,Singh,anita39@gmail.com,9484260677,Hyderabad,Address 39,Business Owner,1985100,True,Baleno,,500000,walkin,new,76,medium,2025-08-21,71,Follow up call,0.84,Low Chance,Medium,Unlikely,1
Neha,Das,neha40@gmail.com,9247535194,Hyderabad,Address 40,Software Engineer,1047829,True,Baleno,2022,900000,website,contacted,71,high,2026-01-07,69,Follow up call,0.87,Medium Chance,High,Unlikely,3
Pooja,Patel,pooja41@gmail.com,9636829871,Hyderabad,Address 41,Analyst,324006,True,City,2018,700000,walkin,test_driven,53,medium,2025-09-27,58,Follow up call,0.4,High Chance,Medium,Likely,5
Suresh,Patel,suresh42@gmail.com,9515231797,Bangalore,Address 42,Software Engineer,1946581,True,Swift,2021,500000,website,won,24,low,2025-09-04,10,Follow up call,0.84,High Chance,High,Likely,3
Neha,Das,neha43@gmail.com,9374912307,Pune,Address 43,Manager,1117304,True,Baleno,2020,700000,website,won,7,low,2025-08-07,1,Follow up call,0.45,Medium Chance,High,Unknown,2
Suresh,Sharma,suresh44@gmail.com,9948311826,Hyderabad,Address 44,Manager,1904971,False,City,2019,,walkin,lost,41,low,2026-01-11,16,Follow up call,0.48,High Chance,Medium,Unknown,3
Amit,Patel,amit45@gmail.com,9205334051,Pune,Address 45,Business Owner,653424,False,Baleno,,500000,referral,new,79,low,2025-12-19,72,Follow up call,0.39,Medium Chance,Medium,Likely,5
Vijay,Sharma,vijay46@gmail.com,9864574344,Chennai,Address 46,Manager,1009526,False,Baleno,2021,700000,website,new,32,medium,2025-08-05,34,Follow up call,0.63,Medium Chance,Medium,Unlikely,2
Rahul,Kumar,rahul47@gmail.com,9298164675,Chennai,Address 47,Software Engineer,416253,False,,,500000,website,won,93,medium,2025-09-17,93,Follow up call,0.62,Low Chance,Low,Unlikely,4
Amit,Sharma,amit48@gmail.com,9704089860,Mumbai,Address 48,Business Owner,941503,False,Swift,2022,500000,referral,contacted,12,medium,2025-08-05,32,Follow up call,0.32,Low Chance,High,Likely,5
Rahul,Sharma,rahul49@gmail.com,9722518800,Chennai,Address 49,Sales Executive,1218867,False,Swift,2018,900000,referral,contacted,57,low,2025-11-08,18,Follow up call,0.25,Medium Chance,Medium,Unlikely,2
Pooja,Kumar,pooja50@gmail.com,9197045195,Pune,Address 50,Business Owner,1795803,False,Swift,2021,,call,test_driven,43,high,2025-08-06,81,Follow up call,0.54,Medium Chance,Low,Unknown,3
Neha,Patel,neha51@gmail.com,9128046628,Mumbai,Address 51,Sales Executive,1146516,True,,2018,,referral,contacted,87,medium,2025-10-17,64,Follow up call,0.5,Medium Chance,Low,Likely,5
Priya,Reddy,priya52@gmail.com,9287764284,Chennai,Address 52,Software Engineer,1403272,False,,2022,500000,call,new,54,low,2025-09-04,92,Follow up call,0.69,Low Chance,Medium,Unknown,5
Neha,Singh,neha53@gmail.com,9826873959,Chennai,Address 53,Analyst,1430520,True,Baleno,,500000,referral,contacted,72,high,2025-09-12,59,Follow up call,0.77,Medium Chance,Low,Unknown,5
Rahul,Singh,rahul54@gmail.com,9745222720,Bangalore,Address 54,Manager,1754764,True,Creta,,900000,walkin,lost,87,high,2025-10-21,87,Follow up call,0.39,Medium Chance,Medium,Unknown,5
Vijay,Kumar,vijay55@gmail.com,9910468992,Bangalore,Address 55,Sales Executive,850233,True,Baleno,2021,,website,new,40,high,2025-11-02,68,Follow up call,0.42,Medium Chance,Medium,Unlikely,2
Neha,Sharma,neha56@gmail.com,9339665171,Chennai,Address 56,Software Engineer,909870,True,,2018,500000,call,test_driven,84,medium,2025-11-12,53,Follow up call,0.57,Medium Chance,High,Unknown,1
Anita,Das,anita57@gmail.com,9979477944,Hyderabad,Address 57,Sales Executive,382780,True,,2022,500000,walkin,won,68,high,2025-10-13,60,Follow up call,0.64,Medium Chance,Medium,Unlikely,2
Anita,Patel,anita58@gmail.com,9743638787,Hyderabad,Address 58,Analyst,1478531,False,City,2019,900000,referral,lost,56,medium,2025-11-21,45,Follow up call,0.66,Low Chance,High,Unlikely,5
Suresh,Patel,suresh59@gmail.com,9353573931,Mumbai,Address 59,Analyst,1575998,False,Creta,2018,,website,lost,96,medium,2025-12-04,37,Follow up call,0.79,High Chance,Low,Unknown,4
Kiran,Reddy,kiran60@gmail.com,9959600775,Bangalore,Address 60,Business Owner,1728812,False,,2021,900000,call,won,42,high,2025-12-18,0,Follow up call,0.97,Medium Chance,Low,Unknown,4
Anita,Verma,anita61@gmail.com,9615353814,Chennai,Address 61,Software Engineer,370485,True,Baleno,2021,700000,website,new,41,low,2025-11-29,41,Follow up call,0.81,High Chance,High,Unlikely,1
Pooja,Patel,pooja62@gmail.com,9168639929,Bangalore,Address 62,Analyst,494132,False,Swift,2020,900000,walkin,test_driven,51,low,2025-10-09,49,Follow up call,0.53,Medium Chance,Medium,Unknown,5
Ravi,Reddy,ravi63@gmail.com,9417652804,Mumbai,Address 63,Software Engineer,739516,True,Creta,2020,900000,walkin,lost,94,high,2025-08-25,28,Follow up call,0.63,Medium Chance,Medium,Unknown,3
Vijay,Verma,vijay64@gmail.com,9713930970,Pune,Address 64,Software Engineer,595467,True,,2020,,call,lost,13,low,2025-07-28,51,Follow up call,0.51,Medium Chance,Low,Unlikely,2
Suresh,Patel,suresh65@gmail.com,9123734131,Pune,Address 65,Manager,869655,True,City,2021,700000,walkin,test_completed,15,low,2025-12-31,43,Follow up call,0.45,High Chance,Medium,Likely,1
Ravi,Reddy,ravi66@gmail.com,9618728550,Pune,Address 66,Business Owner,1675692,True,,,,website,contacted,41,medium,2025-12-01,22,Follow up call,0.76,High Chance,Low,Likely,2
Pooja,Verma,pooja67@gmail.com,9279953988,Pune,Address 67,Software Engineer,1678490,True,Creta,2018,500000,referral,negotiation,50,high,2025-07-21,75,Follow up call,0.95,Low Chance,Medium,Unknown,2
Ravi,Sharma,ravi68@gmail.com,9937337455,Chennai,Address 68,Business Owner,1597739,True,Baleno,2020,500000,referral,test_completed,2,medium,2025-09-25,16,Follow up call,0.27,Medium Chance,Medium,Unknown,1
Ravi,Singh,ravi69@gmail.com,9751155109,Bangalore,Address 69,Analyst,566437,False,City,2018,900000,call,won,54,low,2025-11-25,55,Follow up call,0.17,Medium Chance,Medium,Likely,5
Neha,Reddy,neha70@gmail.com,9857417382,Mumbai,Address 70,Manager,366715,True,Swift,2022,500000,walkin,negotiation,82,medium,2025-12-07,5,Follow up call,0.7,Medium Chance,Low,Unknown,5
Pooja,Patel,pooja71@gmail.com,9832753498,Pune,Address 71,Business Owner,1143420,False,Baleno,,500000,website,negotiation,84,medium,2025-09-14,13,Follow up call,0.45,Low Chance,Low,Likely,2
Vijay,Das,vijay72@gmail.com,9263097424,Pune,Address 72,Analyst,1332647,False,Creta,2022,500000,call,lost,52,high,2025-11-07,15,Follow up call,0.28,Low Chance,Low,Likely,2
Ravi,Reddy,ravi73@gmail.com,9186347308,Mumbai,Address 73,Business Owner,1271141,True,Swift,,500000,website,won,57,high,2025-09-26,19,Follow up call,0.34,Low Chance,Medium,Unlikely,4
Anita,Reddy,anita74@gmail.com,9819699724,Mumbai,Address 74,Sales Executive,1371460,True,Swift,2020,,referral,lost,15,medium,2025-11-19,100,Follow up call,0.47,Medium Chance,High,Unknown,5
Kiran,Reddy,kiran75@gmail.com,9933053740,Bangalore,Address 75,Sales Executive,1999564,True,City,2019,500000,walkin,test_driven,31,medium,2025-12-29,41,Follow up call,0.28,High Chance,Low,Unknown,1
Rahul,Kumar,rahul76@gmail.com,9921070569,Bangalore,Address 76,Software Engineer,1888574,False,City,,500000,call,negotiation,93,medium,2025-12-13,33,Follow up call,0.76,Medium Chance,Low,Unlikely,2
Ravi,Singh,ravi77@gmail.com,9694099091,Pune,Address 77,Sales Executive,1350350,False,,2020,,referral,won,3,high,2025-11-15,23,Follow up call,0.83,Medium Chance,High,Likely,3
Kiran,Patel,kiran78@gmail.com,9254037044,Pune,Address 78,Business Owner,731336,True,Swift,2019,,referral,test_driven,1,medium,2025-09-14,72,Follow up call,0.11,Medium Chance,High,Unlikely,5
Anita,Verma,anita79@gmail.com,9654201178,Hyderabad,Address 79,Analyst,581644,False,Baleno,2022,500000,referral,lost,52,medium,2025-12-10,47,Follow up call,0.92,Medium Chance,High,Unknown,3
Neha,Kumar,neha80@gmail.com,9399927509,Bangalore,Address 80,Sales Executive,762435,False,Swift,2018,700000,referral,lost,17,medium,2025-09-24,65,Follow up call,0.53,High Chance,Medium,Unknown,3
Rahul,Kumar,rahul81@gmail.com,9747999191,Bangalore,Address 81,Business Owner,647262,False,,2020,500000,referral,lost,91,high,2025-07-28,55,Follow up call,0.78,High Chance,High,Unlikely,3
Rahul,Das,rahul82@gmail.com,9472714267,Delhi,Address 82,Sales Executive,1513048,False,Swift,2020,500000,walkin,new,65,high,2026-01-14,37,Follow up call,0.91,Low Chance,High,Likely,1
Suresh,Singh,suresh83@gmail.com,9498163707,Chennai,Address 83,Analyst,1068936,False,Baleno,2018,900000,referral,negotiation,2,medium,2025-08-06,33,Follow up call,0.2,High Chance,Low,Likely,2
Amit,Das,amit84@gmail.com,9128203050,Delhi,Address 84,Analyst,1171858,False,,2020,,call,new,68,high,2025-08-05,7,Follow up call,0.3,Medium Chance,Low,Likely,1
Rahul,Reddy,rahul85@gmail.com,9340244150,Delhi,Address 85,Business Owner,1943078,False,Baleno,2022,700000,call,lost,26,medium,2025-09-22,86,Follow up call,0.82,Medium Chance,High,Likely,3
Priya,Das,priya86@gmail.com,9705933590,Bangalore,Address 86,Analyst,736759,False,,2019,700000,walkin,contacted,11,medium,2025-12-17,86,Follow up call,0.88,Low Chance,Medium,Likely,4
Neha,Patel,neha87@gmail.com,9411427303,Pune,Address 87,Business Owner,1467850,True,City,2019,900000,referral,new,79,medium,2025-09-04,94,Follow up call,0.2,Low Chance,High,Unlikely,2
Suresh,Patel,suresh88@gmail.com,9356323029,Chennai,Address 88,Analyst,613904,False,Baleno,2022,900000,website,test_driven,88,high,2026-01-17,21,Follow up call,0.25,Medium Chance,Low,Unknown,2
Neha,Sharma,neha89@gmail.com,9865129264,Delhi,Address 89,Analyst,1610740,False,Swift,2020,,website,lost,82,low,2025-10-13,40,Follow up call,0.55,High Chance,Low,Likely,3
Anita,Das,anita90@gmail.com,9625250014,Delhi,Address 90,Software Engineer,1252922,False,Creta,,700000,referral,new,50,medium,2025-10-27,72,Follow up call,0.99,Low Chance,High,Unlikely,5
Amit,Singh,amit91@gmail.com,9969888122,Chennai,Address 91,Sales Executive,584141,False,,2018,,walkin,test_driven,32,medium,2025-10-22,4,Follow up call,0.99,Low Chance,Low,Unlikely,5
Rahul,Das,rahul92@gmail.com,9703918548,Chennai,Address 92,Sales Executive,732264,False,Baleno,2020,,walkin,won,58,low,2025-10-21,67,Follow up call,0.13,High Chance,Low,Unlikely,2
Rahul,Das,rahul93@gmail.com,9402630822,Pune,Address 93,Analyst,446793,True,Creta,,900000,website,negotiation,82,low,2025-10-03,9,Follow up call,0.21,High Chance,Medium,Unknown,1
Vijay,Singh,vijay94@gmail.com,9275267178,Chennai,Address 94,Analyst,1505393,True,City,2020,500000,call,negotiation,71,high,2026-01-03,12,Follow up call,0.58,High Chance,Medium,Unlikely,3
Priya,Verma,priya95@gmail.com,9856331302,Bangalore,Address 95,Software Engineer,900174,True,Swift,,900000,walkin,contacted,60,medium,2025-12-03,52,Follow up call,0.26,Low Chance,Medium,Likely,4
Anita,Singh,anita96@gmail.com,9556846796,Chennai,Address 96,Business Owner,1873974,True,Swift,2019,700000,walkin,contacted,12,high,2025-11-19,46,Follow up call,0.75,High Chance,Medium,Unknown,4
Pooja,Kumar,pooja97@gmail.com,9358019789,Chennai,Address 97,Analyst,1534562,True,,,700000,walkin,won,93,low,2026-01-11,80,Follow up call,0.15,Low Chance,Medium,Likely,4
Vijay,Kumar,vijay98@gmail.com,9967609887,Hyderabad,Address 98,Sales Executive,1567956,True,Swift,2022,700000,walkin,negotiation,29,high,2025-07-30,87,Follow up call,0.23,High Chance,Medium,Likely,1
Vijay,Patel,vijay99@gmail.com,9913405478,Chennai,Address 99,Manager,1540473,False,City,2022,900000,website,test_driven,70,low,2025-08-21,80,Follow up call,0.73,High Chance,High,Likely,3
Priya,Kumar,priya100@gmail.com,9367827632,Delhi,Address 100,Software Engineer,1978171,True,Creta,,900000,website,test_driven,37,medium,2026-01-05,29,Follow up call,0.8,Low Chance,Medium,Unknown,5
Anita,Singh,anita101@gmail.com,9515913376,Delhi,Address 101,Manager,392738,True,City,2019,700000,website,test_driven,5,high,2025-09-19,28,Follow up call,0.94,Medium Chance,High,Likely,3
Suresh,Singh,suresh102@gmail.com,9383617433,Hyderabad,Address 102,Manager,1031776,True,Swift,2021,900000,call,lost,21,high,2025-11-02,83,Follow up call,0.21,High Chance,High,Likely,2
Rahul,Verma,rahul103@gmail.com,9771594519,Chennai,Address 103,Sales Executive,866337,True,City,2022,900000,referral,won,59,low,2025-08-15,8,Follow up call,0.43,Medium Chance,Low,Unlikely,4
Kiran,Patel,kiran104@gmail.com,9190028126,Pune,Address 104,Software Engineer,1336731,True,Swift,2020,,call,test_completed,0,medium,2025-08-13,63,Follow up call,0.93,Medium Chance,Medium,Unlikely,5
Priya,Patel,priya105@gmail.com,9555623714,Bangalore,Address 105,Manager,1475677,True,Swift,2018,900000,website,negotiation,18,low,2025-09-26,10,Follow up call,0.62,High Chance,Low,Unknown,1
Anita,Kumar,anita106@gmail.com,9715597794,Hyderabad,Address 106,Manager,399154,False,Baleno,2021,500000,website,won,50,low,2026-01-07,68,Follow up call,0.43,High Chance,Low,Unknown,3
Rahul,Reddy,rahul107@gmail.com,9470993031,Bangalore,Address 107,Manager,1869392,False,Swift,2021,500000,referral,won,18,low,2025-09-18,42,Follow up call,0.59,Medium Chance,Low,Likely,3
Priya,Verma,priya108@gmail.com,9902712718,Hyderabad,Address 108,Software Engineer,1654541,False,,2019,900000,referral,test_driven,90,low,2025-11-16,58,Follow up call,0.77,High Chance,High,Likely,1
Suresh,Singh,suresh109@gmail.com,9916666169,Chennai,Address 109,Software Engineer,1557346,True,Swift,2022,700000,website,test_driven,63,low,2025-12-24,90,Follow up call,0.62,Medium Chance,Low,Unlikely,5
Neha,Patel,neha110@gmail.com,9743669130,Bangalore,Address 110,Analyst,1160902,False,,2022,900000,referral,negotiation,33,medium,2025-10-04,38,Follow up call,0.46,Medium Chance,Low,Unknown,5
Suresh,Reddy,suresh111@gmail.com,9768138575,Hyderabad,Address 111,Sales Executive,1505392,True,Baleno,2018,500000,website,negotiation,59,medium,2025-11-24,20,Follow up call,0.58,High Chance,High,Unlikely,4
Amit,Kumar,amit112@gmail.com,9155304572,Chennai,Address 112,Software Engineer,1239021,False,Creta,,700000,walkin,won,47,high,2025-10-22,4,Follow up call,0.5,Low Chance,Medium,Unknown,3
Kiran,Patel,kiran113@gmail.com,9928705569,Bangalore,Address 113,Sales Executive,743548,True,Baleno,2022,500000,walkin,negotiation,69,low,2025-09-08,33,Follow up call,0.14,Medium Chance,Medium,Unlikely,1
Pooja,Singh,pooja114@gmail.com,9448043620,Bangalore,Address 114,Business Owner,848214,True,Creta,2020,500000,referral,won,31,medium,2025-10-13,72,Follow up call,0.79,Medium Chance,Medium,Unlikely,3
Rahul,Kumar,rahul115@gmail.com,9869589838,Pune,Address 115,Business Owner,1808002,True,,2021,700000,call,test_driven,7,medium,2025-09-24,98,Follow up call,0.42,Medium Chance,Medium,Unknown,5
Rahul,Reddy,rahul116@gmail.com,9507464789,Mumbai,Address 116,Sales Executive,1081341,False,Swift,2020,,walkin,contacted,30,medium,2025-12-27,66,Follow up call,0.91,High Chance,High,Unlikely,4
Suresh,Verma,suresh117@gmail.com,9823411912,Pune,Address 117,Analyst,1817341,True,City,2021,,call,contacted,49,medium,2025-10-18,74,Follow up call,0.26,Low Chance,Low,Unknown,1
Suresh,Kumar,suresh118@gmail.com,9538802919,Hyderabad,Address 118,Business Owner,538377,False,Swift,2022,700000,website,negotiation,92,medium,2026-01-13,81,Follow up call,0.69,Medium Chance,Medium,Likely,2
Vijay,Patel,vijay119@gmail.com,9108465340,Pune,Address 119,Manager,873320,True,Creta,2021,,walkin,new,90,low,2025-10-25,47,Follow up call,0.9,Medium Chance,Low,Unlikely,5
Pooja,Das,pooja120@gmail.com,9653585091,Mumbai,Address 120,Software Engineer,1490243,True,Creta,,900000,call,negotiation,97,medium,2025-11-15,37,Follow up call,0.89,Medium Chance,High,Unlikely,1
Vijay,Singh,vijay121@gmail.com,9934577381,Hyderabad,Address 121,Analyst,1218924,True,City,2019,500000,website,won,86,high,2025-10-12,74,Follow up call,0.86,Low Chance,High,Unknown,1
Vijay,Singh,vijay122@gmail.com,9595138603,Bangalore,Address 122,Software Engineer,1412099,False,,2022,700000,website,lost,24,high,2025-11-10,90,Follow up call,0.11,Low Chance,Medium,Unlikely,4
Anita,Verma,anita123@gmail.com,9256615731,Mumbai,Address 123,Software Engineer,438936,True,Baleno,2018,,walkin,test_driven,47,medium,2025-09-02,43,Follow up call,0.93,High Chance,Medium,Unknown,1
Vijay,Patel,vijay124@gmail.com,9902505083,Bangalore,Address 124,Analyst,1782494,False,Baleno,,,call,new,43,high,2025-08-11,48,Follow up call,0.22,Medium Chance,Low,Unlikely,2
Ravi,Reddy,ravi125@gmail.com,9336250936,Chennai,Address 125,Sales Executive,1763581,False,,2022,500000,website,negotiation,56,medium,2025-12-29,81,Follow up call,0.22,Low Chance,Low,Unlikely,1
Vijay,Patel,vijay126@gmail.com,9243979522,Delhi,Address 126,Analyst,1463638,True,Swift,,700000,walkin,test_driven,18,medium,2025-08-26,29,Follow up call,0.36,High Chance,Low,Unlikely,4
Anita,Kumar,anita127@gmail.com,9673181478,Delhi,Address 127,Software Engineer,1718514,True,City,2019,500000,website,test_completed,56,high,2025-08-29,3,Follow up call,0.83,Medium Chance,Low,Likely,2
Pooja,Sharma,pooja128@gmail.com,9281996047,Chennai,Address 128,Business Owner,470082,False,,2020,500000,walkin,contacted,94,high,2025-08-30,75,Follow up call,0.2,High Chance,High,Unlikely,3
Vijay,Kumar,vijay129@gmail.com,9389208529,Hyderabad,Address 129,Software Engineer,1882984,False,Swift,2019,700000,website,lost,3,medium,2025-10-04,90,Follow up call,0.87,Low Chance,Low,Likely,1
Amit,Sharma,amit130@gmail.com,9317212067,Hyderabad,Address 130,Sales Executive,1798229,True,Swift,2018,900000,referral,contacted,7,low,2025-12-29,100,Follow up call,0.5,Low Chance,Medium,Unlikely,2
Neha,Das,neha131@gmail.com,9711365260,Mumbai,Address 131,Manager,396208,True,,2018,,referral,test_driven,20,medium,2025-09-20,71,Follow up call,0.57,High Chance,Low,Unknown,1
Amit,Sharma,amit132@gmail.com,9272744924,Hyderabad,Address 132,Manager,517878,False,City,2022,,call,lost,56,medium,2026-01-06,2,Follow up call,1.0,High Chance,High,Unlikely,1
Anita,Das,anita133@gmail.com,9669445154,Pune,Address 133,Analyst,737427,True,Swift,2018,700000,call,new,5,high,2025-09-08,83,Follow up call,0.17,Low Chance,Low,Unknown,2
Amit,Patel,amit134@gmail.com,9169703718,Chennai,Address 134,Software Engineer,783801,True,Baleno,2021,500000,walkin,new,21,low,2025-09-09,15,Follow up call,0.92,Medium Chance,Medium,Unlikely,3
Ravi,Patel,ravi135@gmail.com,9396076016,Chennai,Address 135,Business Owner,1755279,False,Baleno,2020,500000,website,lost,80,high,2026-01-08,42,Follow up call,0.91,High Chance,Low,Likely,2
Amit,Sharma,amit136@gmail.com,9497986953,Delhi,Address 136,Manager,1253009,True,Baleno,2022,700000,walkin,lost,8,low,2025-12-01,92,Follow up call,0.2,Low Chance,Medium,Likely,1
